"Question","Answer",
"What is the name of Odysseus's wife?","Penelope",
"How many heads does the Scylla have?","Six"
"Who wrote The Odyssey?","Homer",
"Who is the hero in The Odyssey?","Odysseus",
"What is the name of the Cyclops?","Polyphemus",
"What is the name that Odysseus tells the Cyclops in order to fool him?","Nobody",
"What is the name of the godess that turned men into animals?","Circe",
"What is the name of the whirlpool monster?","Charybdis",
"Where is Odysseus's home?","Ithaca",
"Who gives Odysseus an herb so Circe's magic does not work on him?","Hermes",
